yearmonth,msl_mm
4/1/2008,7143
5/1/2008,7157
6/1/2008,7020
7/1/2008,7095
8/1/2008,7248
9/1/2008,7366
10/1/2008,7325
11/1/2008,7192
12/1/2008,6959
1/1/2009,6902
2/1/2009,6888
3/1/2009,7053
4/1/2009,7035
5/1/2009,7121
6/1/2009,7238
7/1/2009,7133
8/1/2009,7103
9/1/2009,7434
10/1/2009,7306
11/1/2009,7361
12/1/2009,7248
1/1/2010,7078
2/1/2010,7103
3/1/2010,7148
4/1/2010,7038
5/1/2010,7069
6/1/2010,7050
7/1/2010,7081
8/1/2010,7217
9/1/2010,7283
10/1/2010,7243
11/1/2010,7203
12/1/2010,7026
1/1/2011,6977
2/1/2011,7000
3/1/2011,7094
4/1/2011,7009
5/1/2011,7125
6/1/2011,7110
7/1/2011,7149
8/1/2011,7264
9/1/2011,7271
10/1/2011,7253
11/1/2011,7184
12/1/2011,7091
1/1/2012,6955
2/1/2012,7068
3/1/2012,7046
4/1/2012,7172
5/1/2012,7223
6/1/2012,7312
7/1/2012,7116
8/1/2012,7202
9/1/2012,7229
10/1/2012,7268
11/1/2012,7329
12/1/2012,7137
1/1/2013,7089
2/1/2013,7041
3/1/2013,7111
4/1/2013,7156
5/1/2013,7194
6/1/2013,7098
7/1/2013,7129
8/1/2013,7236
9/1/2013,7301
10/1/2013,7341
11/1/2013,7230
12/1/2013,7121
1/1/2014,7074
2/1/2014,7164
3/1/2014,7185
4/1/2014,7222
5/1/2014,7186
6/1/2014,7213
7/1/2014,7213
8/1/2014,7317
9/1/2014,7410
10/1/2014,7291
11/1/2014,7237
12/1/2014,7233
1/1/2015,7170
2/1/2015,7172
3/1/2015,7137
4/1/2015,7159
5/1/2015,7207
6/1/2015,7110
7/1/2015,7197
8/1/2015,7251
9/1/2015,7338
10/1/2015,7509
11/1/2015,7348
12/1/2015,7278
1/1/2016,7214
2/1/2016,7144
3/1/2016,7164
4/1/2016,7237
5/1/2016,7228
6/1/2016,7302
7/1/2016,7122
8/1/2016,7210
9/1/2016,7283
10/1/2016,7453
11/1/2016,7339
12/1/2016,7212
1/1/2017,7071
2/1/2017,7074
3/1/2017,7071
4/1/2017,7205
5/1/2017,7148
6/1/2017,7211
7/1/2017,7159
8/1/2017,7287
9/1/2017,7461
10/1/2017,7351
11/1/2017,7276
12/1/2017,7143
1/1/2018,7048
2/1/2018,7094
3/1/2018,7235
4/1/2018,7146
5/1/2018,7140
6/1/2018,7131
7/1/2018,7233
8/1/2018,7179
9/1/2018,7325
10/1/2018,7321
11/1/2018,7342
12/1/2018,7237
1/1/2019,7145
2/1/2019,7228
3/1/2019,7274
4/1/2019,7222
5/1/2019,7254
6/1/2019,7261
7/1/2019,7294
8/1/2019,7309
9/1/2019,7422
10/1/2019,7459
11/1/2019,7416
12/1/2019,7235
1/1/2020,7158
2/1/2020,7173
3/1/2020,7185
4/1/2020,7259
5/1/2020,7243
6/1/2020,7276
7/1/2020,7279
8/1/2020,7299
9/1/2020,7451
10/1/2020,7461
11/1/2020,7382
12/1/2020,7188
1/1/2021,7179
2/1/2021,7224
3/1/2021,7235
4/1/2021,7226
5/1/2021,7201
6/1/2021,7225
7/1/2021,7201
8/1/2021,7241
9/1/2021,7362
10/1/2021,7391
11/1/2021,7387
12/1/2021,7224
1/1/2022,7266
2/1/2022,7184
3/1/2022,7144
4/1/2022,7197
5/1/2022,7320
6/1/2022,7336
7/1/2022,7164
8/1/2022,7225
9/1/2022,7429
10/1/2022,7460
11/1/2022,7405
12/1/2022,7285
